Comment,Label
very good nhưng nếu ko quảng cáo thì kểu,1
Thuyết minh quá hay,2
Nếu có gag tay đỡ nhất hơn,1
a đi tuor vậy a có coi dự báo thời tiết k hay đi hên xui anh,1
Em ko thể nói gì cả,0
"Vừa làm video cho mỗi người xem ,vừa quảng bá cho các doanh nghiệp ,chúc ad nhiều sức khỏe và làm thêm nhiều video ý nghĩa như zay nữa",2
Hai,1
hợp tâm trạng ghê bro,2
quá ý nghỉa luôn anh đen,2
cái này ko được đâu,0
Thích cái hình nền😊😊,2
Mày láo vãi cứt,0
Thề xem cuốn vl :)),2
"Tik tok là nơi hội tụ của khoảng 90% số người có vấn đề về nhân phẩm! Có thể nhiều bạn nhột sẽ chửi tôi nhưng tôi nói là sự thật! Khoảng 10% còn lại là những cơn báo chí chính thống hoặc những người làm content sạch! Tôi xưa giờ nhìn mọi chuyện theo hướng đa diện không quy chụp chung cho một ai hết, cho nên tik tok thì cũng như bao nhiêu chỗ khác có người tốt kẻ xấu chứ tôi không gom đũa hết một đống! Hi vọng sau những hình phạt thật nghiêm túc dành cho những tiktoker thích đú trend liếm frame thì những người khác cũng biết sợ mà tém cái nết của mình lại! 
 Có thể kiếm tiền bằng tik tok, tôi biết, nhưng bất chấp mọi thứ, kể cả danh dự, đạo đức của bản thân để gây ra các scandal nhằm lấy tương tác kiếm tiền thì đó cũng là một kiểu kiếm tiền bẩn, không khác gì những kẻ bán xì ke ma túy cả!",0
Má mày,0
ngu hết phần thiên hạ,0
màn hình xanh xanh nguy hiểm là màn hình của pmem nào đó bác,1
"Bao giờ con người bay đc , dịch chuyển tức thời , di chuyển trong chiều không gian , biết hết đc",1
nhìn mấy Trend này mà thấy nhạt nhẽo quá😒,0
thức ăn của Nhật có khuynh hướng hơi ngọt…,1
A ra clip đỡ bóng giật moi đi ạ.e đỡ hay bị bung lắm,1
Màu cũ đẹp hơn,1
khoa đi trung quốc đi ...vừa đẹp vừa rẻ thức an cũng ngon và phong phú lắm,1
"Video chất lượng quá :(((( ko uổng công tui mòn mỏi chờ đợi, lâu lâu lôi clip cũ ra nghe lại cho đỡ ghiền. Mặc dù truyện đã đọc từ hồi bé xíu rùi nhưng nghe giọng đọc văn vở vẫn cứ là cuốnnnnn",2
bản gốc của Phong max đó Bro ơi,1
Về Việt Nam quay miền Tây nữa đi Khoai ơi,1
"Tuyệt vời, cảm ơn chị nhé",2
Chill cực 😁,2
@Khoai Lang Thang nói vậy thôi chứ cuối tuần nào cũng ngồi trông Khoai upload video mới 😂 chúc Khoai và mọi người sức khoẻ để tiếp tục ra video nữa hen 😁,2
nghiện ngay từ lần đầu lun hihi,2
"Giỏi lắm, đúg là con trai của ta",2
Hơi khó bạn à,0
Ối giồi ôi ăn kem với tất cả mọi thứ như vậy có mà tào tháo đuổi cả tuần,0
Anh Thiện đang đi với người yêu nha anh em 😂,1
chử lambo trên mâm sơn ngược rồi a ơi,1
Sư huynh đã quay lại,2
Công nhân làm vất vả quá thương lắm đi,1
Món ăn ngon. Cảm ơn gia đình đã chia sẻ.,2
Hay qua,2
Nhạc nghe rất hay ❤🎉😊,2
@Thanh Pahm Art em cảm ơn anh nhiều ạ ! ❤️,2
Khong phai la tien toi khi truong thanh cua loai Ran chuong vi chung o trong chuoi thuc an thoi loai lo an loai de duy tri so luong do la quy luat tu nhien thoi ma nguoi con gai thuyet minh hay qua,2
"Biết bao giờ mới gặp lại một Khoai lang thang như trong những clip đi Indo hayTaiwan ,Thailand..giờ thì thấy nhàn nhạt như những kênh du lịch đầy dẩy trên youtube..",0
Bệnh hoạn biến thái,0
vào vấn đề lâu quá anh ơi =(,0
Quá hay luôn ,2
ủng hộ Ad tiếp nhé Bro ơi,2
Lợn đâu😊,1
Dell hiểu thk đăng nghĩ j,0
thấy gớm,0
phai chiu thoi,2
Trầm cảm nặng 😓😓,0
10000000000000000 điểm❤,2
Chuyện đâu còn có đó đừng buồn với những thứ đã qua đi,1
"mọi người ơi, màu pentel với mango cái nào ổn hơn ạ?",1
"Anh cân nhắc nghiên cứu cách thu âm hay đổi mic để giọng đều, nghe đỡ um hơn sẽ dễ nghe hơn ạ",1
nhạc này quen quen,1
Chất lượng tệ sao dùng được,0
A gần 60t rồi muốn học đánh gai dài chỗ e có dạy không ?,1
Anh nô quá độc ác,0
Cô chủ quán dễ mến quá.,2
thảm hoạ cho xã hội,0
Xin đừng làm xấu mặt LGBT,0
Sao ho không mang bao tay hi???,1
Cái nạm bò da da là cái lòng ông ơi 😅,1
nghiện ngay Bro nhỉ,2
ahihi tự nhiên cảm thấy có hứng làm 1 tiếng á căn bản là bài Hoa Cỏ Lau cũng hạp mừ hihi,2
Anh 10đ,2
Đúng là bình luận mắc cười toàn bàn phiếm,0
"hướng nội hoà mình vào xã hội để thể hiện bản thân , và chúng ta có thêm 1 thể loại mới , HƯỚNG NGOẠI PHA KÈ , đời hư ảo như một cơn phê",1
nhớ thanh pahm xàm lìn quá,2
Có phải người không vậy,0
"xui quá, xem vào lúc sáng sớm :))) đói bụng luôn mà",2
Um. Tại họ sắc mỏng quá đó bạn. Nên mình phải dùng từ vậy á.,1
Câm miệng cho nói lại câu đầu 😡,0
Có tý tiền ra vẻ,0
Đó là nước lạnh chứ không phải ấm nha:],1
Quá là nhân văn khi no bị lên tiếng,0
Mình thấy kênh này hương dan de dang và de hiểu không nói nhiều dai dong kho hiểu ủng hộ bạn mong bạn ra càng nhiều món ăn cho mình và mọi người học hỏi,2
Tớ dùm samsung,1
Từ thiện mà như này thì đừng có mà từ thiện.Từ thiện cho đàng hoàng vào.,0
nhạc chill quá,2
ru ngủ,2
hay!!!!!!!!!!!,2
thằng này nó láo thật,0
Nhìn anh ăn mà thèm hihi😂,2
"Ae dùng ĐT gì ???
 Dùng đc bao nhiêu tiếng ???",1
Sao anh đăng video cũ ko vậy nè,0
"nhạc hay quá , nghe quài không chán",2
hay quá,2
cảm ơn đội ngũ của kênh đã tạo ra những video tuyệt vời thế này !!!,2
Có ai nói anh và sơn tùng nhìn giống nhau chưa 😅,1
Quá tởm,0
"Không liên quan nhưng tôi muốn kể cho các bạn nghe một câu truyện: Tôi thử tập thể dục tại nhà. Kết quả: Đập vỡ chiếc đèn trần, phá hủy tủ quần áo và trượt chân rơi xuống ghế.",1
Lần đầu tiên mình ăn cá bơn trong omakase mình cũng cạn lời :))) tưởng ăn trúng miếng cá hư hay sao mà chưa bao giờ ăn miếng sashimi nhai mỏi miệng luôn 😂😂,0
hay qua bn oi,2
Bài này đúng là hay nhất rồi........,2
Ngon.wa khoai,2
Trời ơi quá đỉnh luôn rồi k còn từ nào để diễn tả nổi,2
Hay quá🎉🎉🎉,2
Lò bạn ở đâu,1
đi tù thôi các cháu,0
Thật ý nghĩa.,2
Cô chủ quán chỉ có một trên đời,2
đéo có não à,0
Cảm ơn bài hát này đã làm tôi đỡ hơn,2
 bạn có thể đưa ra dẫn chứng?????,1
Anh nói cuốn thật,2
Top1 cũng k xài,0
Mấy con khỉ này mà gặp tôi ngoài đường là no đòn,0
cảm ơn Bro nhé hihi,2
Cho nó xuống đáy xã hội đi,0
vô rồi report luôn,0
Thế giới động vật thật kì lạ!,2
"1 giây đầu:kho có biểu cảm
 30 giây sau:trầm cảm",0
Loi noi lo nhip voi hinh anh roi,0
Cảm ơn bạn. Cảm ơn ng dân Nam Định,2
"Giang hồ gặp cán bộ "" Dạ dạ vâng vâng này kia "" đéo ra gì ... Với tao "" Cớm VN là cức """,0
"Nếu đọc tự nhiên thì hoàn hảo biết bao, trong tầm tay cô ấy !",2
Minh rat thic ma nguoi lam zay,2
"Edit hay quá
 Xem lại lần 2 vẫn hay",2
Nhìn em khoai lang thang ăn shushi thấy ngon quá.,2
Vô lý vl,0
Đạo đức giả,0
lol :) dume nhảm nhí,0
Sao bên Nhật ngta ko lấy cá Lóc làm sashimi mà phải dùng cá Ngừ vậy Khoai😂,1
em làm không được,1
Nam Định quê tôi,1
E nghe giảng quá hay nhưng e chưa dc lm quen nên e vẫn chưa hiểu lắm ạ,1
"Tự nhiên nghe ổng nói chợ cũ ,chợ cá ...liên tưởng tới film a Vi Cá ghia 😂",1
Thằng tù😅😅😅😅😅 cuối cùng cũng là thằng tù,0
Tiktok sẽ khiến cho con người thành Người tối cổ,0
Là gì,1
Phật giáo là Khoa học ở một tầm cao hơn,1
Xem phim nhiều h nghe nhạc nền bị ám ảnh 💀💀,0
Tuyệt với quá ạ,2
nhức nách :)),2
kinh dị thật nhìn ngu vãi,0
nhạt hơn tao,0
game gì vậy anh,1
Chuyện Tào lao...,0
Anh cố ra video nhiều hơn nhé,2
Thua Cầm thú 😡😡😡🤬🤬🤬,0
hay quá tui nghe chơi game phê vãi :),2
Tui có làm youtuber,1
Lâu quá ít thấy clip của anh ❤,1
Bạn nữ cuối video dễ thương quá anh 😂,2
rãnh đây này,1
Video quay lại xem mât hứng,0
Ui!😨😰,0
ganh nang cho xa hôi,0
Tiktok màu tím sao ra màu hồng vậy anh,1
đăng bài kèm ảnh lên facebook group nha em,1
"Mong bạn ra thêm nhìu clip nữa, mình làm theo ra kết quả rất ngon, hơn hẳn mấy clip hướng dẫn khác. Cảm ơn bạn nhé",2
kinh quá,0
Nhạc quá hay,2
Ngợm này làm bẩn cái xh,0
Game này xem hài vãi :))))))),2
a ban này nói nhẹ nhang dễ nghe quá,2
Cho thằng này vào tù đi,0
"Nhạc của Đen đẹp thật sự, quá tuyệt vời",2
âu kê,2
Ae thợ Việt Nam quá đỉnh luôn ạ,2
Hấp dẫn ghê,2
"Khoai ăn những món 🍣 nigiri rất ngon nhưng nếu có chung Sake nữa thì sẽ tăng thêm vị. Sushi rice thì nó có mix với dấm, đường mirin’s. Một trong món ăn mà không thể thiếu hàng tuần của chị ❤",2
Sao lại có tag Điền Tây Tiểu Ca ạ,1
Video có quá nhiều khái niệm nhưng chả có cái nào khai thác sâu cả. Một số chỗ còn sai nữa(đoạn du hành không gian??!). Mong bạn nghiên cứu trước khi thực sự đặt tâm huyết vào làm video,0
Khoai ơi cho mình xin tên hoặc location của quán omakase mà Khoai ăn nha,1
ko có lòng kinh trọng,0
Tiền độ chắc bằng con Mec C200 hả a Hoàng 😂,1
Nhạc nền đc đấy :),2
Tui thì không tin thuyết đa vũ trụ này =)),1
Hay và ý nghĩa quá ạ❤❤,2
đi thử quận akihabara đi anh Khoai,1
Hơi ô dề,0
Cái tiieu đề lừa mấy loại tnhn,0
"Phản biện, phản hồi, lý luận,... kiểu gì cũng không thể thay đổi được lịch sử.",1
Tuyệt vời quá. HSSV qua ăn chỗ cô nhớ suốt đời,2
"Mỗi người có một khẩu vị riêng, vì vậy mỗi người một cái ngon riêng ạ",2
WOW W W W W W W,2
Hay quá,2
:))) thóc chỉ gà cách ăn thóc. =_=,0
Ăn nói ko có học,0
"cá nóc thì Khoa về tp.shimonoseki ở tỉnh Yamaguchi nhé , đặc sản cá nóc nổi tiếng nhất nhật bản luôn.",1
Chúc anh được 100k subcribers ạ!,2
"Éo hiểu, phức tạp qua",0
Được 100k sub rồi à,1
Em xin info keyboard của anh ạ ❤,1
"Anh cho em hỏi ứng dụng chọn các tổ hợp màu ở phút 9:34 trên là gì vậy ạ?
 Em cảm ơn anh nhiều 🔥🔥",1
nghiện lắm luôn,2
"anh ơi, làm thế nào để mở đc bash vậy ạ",1
Toàn bọn mồm,0
Quá hay luôn ❤❤❤❤😊,2
ý thức quá kém .,0
Quá Phế...,0
Hay quá a ơi🎉🎉🎉,2
ghê quá,0
Quá lẹ và ngon quá,2
Cà làm muối sổi bà dã tỏi ớt đường bột cánh dấm trộn vào cà sẽ ngon hơn,1
sao ah vô tâm thế,0
Khao học không tin vào thần học hoặc đấng sáng tạo nào cả. Thiên nhiên tạo hoá đó là chuẩn nhất.,1
Hay😂,2
em mới mua đc 2 tuần để qua đêm mất oan 20%=),1
Nhưng sao e thấy màu hồng tím của xe trong cái clip tiktok khách đưa cho anh tối màu hơn nhỉ 🤔. Màu sơn này có vẻ hơi sáng.,1
Để màu ban đầu đẹp hơn,1
Có kênh vậy sao trời,0
làm nghề không có tâm 🙂,0
Cảm ơn 2 anh nhiều ạ,2
một vlog kỉ niệm một chuyến tua đà lạt tròn một năm,1
Khi nào anh dạy c/c++ nha,1
Đã là dân chơi ròi sợ gì hư pin.,1
"Ẩm thực mẹ làm....... rồi có bán mật ong giả nữa ko, bị phạt hết bao nhiêu tiền rồi,nay đổi tên kênh luôn hả, gớm tham quá thì thâm",0
Anh Linh đẹp trai thế.,2
Coi bực thật😔😔,0
Hay quá đi mất thôi,2
ok Minh ơi hihi,2
Nuoc dia cau.nuoc trong nuoc.nuoc vinh cuu.nuoc khong gian.toan bon chua hieu.,0
Quảng cáo ít thoiiiiiiiiiiiiiiiiiiiiii😊,0
a ơi bao giờ a trở lại hà giang vậy. nhớ quá ạ,2
Cuối cùng cũng lên tiếng,0
Kinh tởm,0
"Đoạn 3:55 nhìn như cô gái có cái d*i, một tay chống cằm, một tay nghịch gì đấy hông biết",1
"Không mở đt , rất tiết kiệm pin và tiền dịch vụ viễn thông",1
Tao đổ 1 ca nước vào mà đéo thấy gì thằng sạo lìn,0
