Comment,Label
Chúc mừng các cô gái vàng của đội tuyển bóng đá nữ Việt Nam 🇻🇳,2
Hay,2
Đội tuyển nữ Việt Nam thật là tuyệt vời,2
Các gái cam biết thế nào là đội dự wc chưa,2
Thanh nhã xinh,2
Đá rất hay. Đẳng cấp vượt trội ở ĐNÁ,2
Cam ngon quá! Ăn liền 4 quả😂 chúc mừng các cô gái vàng VN❤️,2
Ủa đội hình VN mình có nhập tích ah Số 3. Thichanan Sodchuen,2
Tuyển nữ Việt Nam mình đá hay bài bản. ❤❤❤,2
Tuyệt vời,2
Vặn sự như ý,2
Tao yêu Thanh Nhã,2
Đá bài bản kỹ thuật tốt hay hơn mấy ông nam giới,2
Đá nửa sân,1
Chúc mừng các cô gái vàng Việt Nam tự hào quá Việt phụ nữ Việt Nam chúng ta ơi,2
Out trình Campuchia quá 😂,2
"ĐT bóng đá nữ Việt Nam đã vào chung kết cách HCV 01 trận đấu với Myanma. Chúc mừng đội tuyển nữ Việt Nam!! 😘😘😘. Chiều 13/5 chúng ta tiếp tục cỗ vũ cho U22 VN vượt qua Indo để vào chung kết thôi nào, cố lên BĐ VN",2
Vạn sự....》》》như ý,2
Ngân thị vạn sự ghi bàn kìa,2
Những cô gái vàng của VN:))),2
Quá ghê,2
Các chị em luôn không làm các ae thất vọng,2
Tỉ số kiểu này giống ngày xưa VN gặp Thái😆😆😆,2
"Khoái xem bóng đá nữ hơn, vừa hay vừa được nhìn toàn người đẹp..nữ Việt Nam mãi đỉnh!!!!!",2
Xem nữ VN đá hay thật tấn công rất nhịp nhàng,2
Xem nữ thái lan da,1
Thật tuyệt vời quá hay quá đang cấp,2
Đội tuyển dự wc có khác😂😂,2
Vẫn thích Huỳnh Như,2
Bright future for Vietnam. They play like japan. They will enter world cup one day,2
Xem nữ đá sướng mắt. Chúc mừng đội nữ Việt Nam,2
"Chúc mừng tuyển nữ Việt Nam, các em giỏi lắm, đá rất hay.❤❤❤",2
tui tự hỏi s con gái đá banh bay xa dữ z 😂,2
Thủ môn đội bạn hay.,1
Đôi cánh của chúng ta chơi tuyệt vời!🎉🎉🎉,2
Nữ cầu thủ có chiều cao khiêm tốn nhất là ai vậy. Tôi thích sự lỳ lợm của cô ấy,2
Việt Nam 🇻🇳 vô địch,2
Nhìn các cô gái đá thật là đáng yêu ❤❤❤,2
CHÚC MỪNG CÁC CÔ GÁI VÀNG VIỆT NAM❤❤❤,2
"Mình rất không hài lòng khí xem trực tiếp lúc đầu khi trận đấu cân bằng có rất nhiều người cm mỉa mai các em ở đội tuyển, không phải lúc nào cũng như ý muốn của mình đc.",1
Nữ Việt Nam lại vô địch thôi!,2
Quá tuyệt vời.xin chúc mừng đội tuyển nữ Việt Nam 🎉🎉,2
"Huynh nhu da qua kem giai nay , ,,dung dieu da nua !,,,Hay dut diem ban linh ,, lanh lung ,,lay lai chinh minh Huynh nhu oi !,",2
Chúc mừng các bạn nữ chiến thắng vào ck❤,2
Thanh Nhã chạy như Gareth Bale,2
Thanh nhã hay,2
chúc mừng đội tuyển nữ Việt Nam!! 😘😘😘😘😘😘,2
"Bóng đá nữ thật sự phối hợp rất tuyệt vời, dường như không có vết xước gì luôn! Thần tượng các chị♥️♥️♥️",2
Bây giờ xem Nữ hay hơn Nam rồi. Tự tin lên hẳn,2
Thanh nhã đường truyền quá hay. Để đồng đội ghi bàn thắng thứ 2,2
❤❤ tuyệt vời.,2
Chúc mừng đội tuyển nữ VN.,2
Mọi người gọi món đi nàoooo,2
Hay và ý nghĩa quá ạ❤❤,2
theo mình Đen là ca sĩ rapper có phong cách thể loại nhạc nhân văn phóng khoáng nhất trong cả dàng nghệ sĩ rapper Việt Nam. Nhất là về phần lời bài hát từng câu từng chữ đều mang ý nghĩa sâu xa.,2
"Đen nấu bữa nay mặn quá, cơm chan nước mắt 😭😭",2
"Cảm xúc nó cứ nghẹn nghẹn trong họng, không phải là cảm động rớt nước mắt, mà nó khó tả lắm, cảm thấy yêu thương và trân trọng mọi thứ trong MV này. Cảm ơn anh Đen, chị PiaLinh và toàn thể ekip.",2
Không biết gì về rap . Em vào vì chính anh . Vì tính cách và những điều anh làm .,2
"K cần siêu xe, k cần hột girl, lấp lánh kim cương, tuyệt vời!",2
Hay lắm ạ ❤❤,2
Cho đi niềm hạnh phúc sẽ nhận về gấp đôi gấp ba 🙏🙏🙏,2
cảm ơn anh Đen nhiều ạ,2
câu view,0
"ngắn gọn thui: "" Rất tuyệt vời """,2
"Giọng nữ rung nghe ko hay, nghe như run rẩy ấy! Còn Đen thì lúc nào cũng ok!",1
Thật ý nghĩa. ,2
bep lua ok chot,1
rồi ra bếp lửa hoặc chiếc lược ngà:))),1
Cho e order 1 nồi lẩu ẩm nhạc tẩm đầy ý ngĩa,2
"luôn hâm mộ chú, chiếc video ý nghĩa quá chú Đen à",2
Fan đen vâu nha. A là người chuyền ccảm hứng trong cuộc sống của mọi người iu a ❤,2
"Mỗi lúc có thời gian rảnh sẽ vào góp 1 view cùng anh chị em... Chúc anh chị em sức khỏe, nụ cười luôn nở trên môi...!!",2
Một người quá tử tế thế mà ko ai cày view,2
đề năm nay Vợ chồng A Phủ nha ae 2k5,1
Rap của Đen cực kì y nghĩa và phải vòng nhận nghĩ ra được những cụm từ vừa vần vừa y nghĩa đó là một tài năng ❤,2
Đơn giản là tuyệt vời,2
Thật rất hay❤,2
Pialinh đẹp quá <3,2
Cảm ơn anh Đen Vâu. Bài hát quá ý nghĩa,2
"Thứ âm nhạc bình dị, sâu lắng. Chạm đến trái tim♥️",2
"nhạc anh Đen không chỉ giải trí mà còn có tính cộng đồng, quá ý nghĩa <3",2
Cảm ơn a Đen❤❤❤,2
Hay quá anh ơi..,2
cảm ơn chú Đen vì và đội ngũ ekip đã sản xuất ra một mv hay và ý nghĩa,2
Nghe nhạc của Đen Vâu phải nghe nhiều mới thấm được ❤❤❤❤,2
Bài bếp lửa nha,1
Mong đc gặp a đen 1 lần chước khi e ko đc thấy tương lai của e nữa 🥺,1
Một bài hát thật ý nghĩa,2
Hay quá anh ơi,2
Đề thi vào 10 thpt năm nay là bếp lửa nhé🤣,1
Cơ mà bài hát này hay thật xem mv cúc động lắm luôn,2
Tuyệt vời,2
Fact: cảnh quay đc thực hiện tại ĐB,1
"Tuyệt vời quá!!! ❤
 Cảm ơn anh!!!",2
Một bài hát rất ý nghĩa,2
Vớ vẩn đề thi năm nay vào Tây Bắc á,1
Chào đồng âm <3 <3,1
Hay quá chú Đen ơiiii,2
Cảm ơn Đen ❤,2
Lời hay quá anh ơi!!!,2
Có ai rơi nước mắt k 😢😢,2
nghe đi nghe lại thuộc luôn cả lời rồi,2
Bài nào của a Đen nghe cũng thấm và xúc động❤❤❤,2
Cảm ơn Bạn đã có món ăn tình người trong cuộc sống này.,2
Chúc a thật nhiều sức khoẻ và luôn ra nhiều mv như thế này rp a ,2
Âm nhạc của sự tử tế!,2
Bác Đen đang xây vài cái lớp học vỡ lòng ❤❤,2
Kính cẩn nghiêng mình trước Đen Vâu! Chúc bạn luôn tràn trề năng lượng...,2
"Nhạc của Đen đẹp thật sự, quá tuyệt vời",2
Pịa Link là đứa nào thế ?!,1
Ko đơn giản chỉ là một bài nhạc ❤,2
Nghe mà cứ rưng rưng,2
Nhân văn quá 😢,2
"Một bài hát mang đậm tính nhân văn, từng câu, từng chữ đều thể hiện ý nghĩa rất đặc biệt,, nhạc thì nhẹ nhàng mà nghe nghiện luôn, cảm ơn chú Đen và ekip vì đã tạo ra một bài hát tuyệt vời như thế này",2
MV hay và ý nghĩa quá^^,2
Hay quá chú Vâu ơi ❤❤❤,2
Bài này hay và ý nghiãaaaa,2
"Làm tốt lắm đen, cảm ơn!",2
Tuyệt vời quá❤️,2
"Câu từ và giai điệu rất ý nghĩa, nghe bài hát này làm mình yêu đời hơn rất nhiều ❤",2
có phải là mỗi người cho ta 1k là có ngay 1 tỷ lên vùng cao xây mấy lớp học vỡ lòng không ta???,1
"Trời ơi, xem mà xúc động quá ạ. cám ơn vì bài hát và tất cả mọi thứ . mọi thứ đều ý nghĩa.",2
Thật ý nghĩa quá... cảm ơn anh Đen,2
thật ý nghĩa,2
Nhạc của a cứ bị ý nghĩa vậy,2
Rau muống xào tỏi anh ơi,1
"Cảm ơn Đen , PiaLinh và ekip- đã tạo ra bài hát như vitamin tử tế",2
Bài hát mộc mạt và ý nghĩa.,2
Tốp 2 rồi ah ĐEN ƠI ❤❤❤❤,2
quá ý nghỉa luôn anh đen,2
Lại phải đoán đề văn,1
"Ui, nhạc mở đầu của bài này êm êm dễ chịu quá 😍",2
"A ơi, em muốn hỏi a quay ở chỗ nào đây ạ",1
Xuất sắc ạ ❤,2
"ý nghĩa quáaa, cháu cũng muốn 1 lần được trải nghiệm ❤",2
"Hay quá, ý nghĩa và cảm động nữa, chúc a đen và ê-kíp nhiều sức khỏe luôn luôn bình an 😊",2
Cảm ơn Đen Vâu và ê kíp cảm ơn đã giúp đỡ Điện Biên chúng em ạ.,2
"Cảm ơn anh đã làm music video tại Mường Chà - Điện Biên , điểm xã Sá Tổng còn nghèo , để mọi người cùng hiểu hơn về cuộc sống học tập tại miền núi",2
thả tym ❤️❤️❤️❤️❤️❤️❤️❤️,2
Cảm ơn ❤,2
"bài hát vô cùng ý nghĩa , cảm ơn chú và ekip đã tạo ra bài hát này 💗💗💗",2
cảm ơn anh Đen và ekip cùng tấm lòng vô cùng đẹp của anh và mọi người.thực sự vô cùng biết ơn anh đã đang và tiếp tục đóng góp cống hiến cho cộng đồng và xã hội.trái tim chân thành sẽ được đền đáp xứng đáng.chúc a và ekip có thật nhiều sức khỏe và con đường đi phía trước luôn dk thuận lợi,2
Bếp lửa,1
Hay quá anh ạ ❤❤,2
Nhìn nấu ăn ngon zay biết ngay là xinh gái rùi... Yêu quá,2
Mình thấy kênh này hương dan de dang và de hiểu không nói nhiều dai dong kho hiểu ủng hộ bạn mong bạn ra càng nhiều món ăn cho mình và mọi người học hỏi,2
Chào bạn nhe bạn kho thịt ngon tiệc vời lắm chia sẻ với bạn đang ký cho bạn một lai đó nhe,2
Bo cam ha sao khong noi len de chia se vay,0
"Kênh làm video chất lượng và phong cách giống của các kênh nước ngoài. Mà ít người chú ý quá, có lẽ nước ngoài họ bỏ tiền ra 💵 để chạy lượt xem và sub, chứ thấy chất lượng videos của họ cũng không khá hơn videos kênh này.",2
"Video làm dễ hiểu, súc tích, nguyên liệu phổ thông. Nói chung là 10/10",2
Nhìn bạn làm sao thấy đơn giản quá nhỉ mà hấp dẫn vô cùngCảm ơn bạn nhé,2
Quá lẹ và ngon quá,2
nấu sai cách người miền tây,0
Món bạn nấu rất hấp dẫn,2
"Giỏi lắm, đúg là con trai của ta",2
"Cảm ơn bạn đã chia sẻ video món thịch kho tiêu nhìn rất ngon và hấp dẫn , chúc bạn và gia đình nhiều sức khỏe an lành hạnh phúc ạ,mong được đồng hành cùng bạn ạ",2
ngon,2
Món ăn ngon. Cảm ơn gia đình đã chia sẻ.,2
Khi kho mình nên để lửa to hay nhỏ ạ,1
Nhìn bạn làm sao thấy đơn giản quá nhỉ mà hấp dẫn vô cùng ❤,2
Thích kênh này ko nói nhiều. Nấu ăn là nỗi sợ của mình nhưng xem mình cảm thấy nấu ăn có thể là therapy cho nhiều người,2
Nhìn ngon quá ❤,2
"Thịt chưa được vàng lắm , vàng tí nữa là ok",1
Đỉnh quá khầy,2
"Hấp dẫn đến từng chi tiết, mình phải học hỏi bạn 👍👈👍",2
"Đói bụng ,ngon quá ❤❤❤",2
Ngon nha mọi người ♥️,2
ngon quá cảm ơn bạn đã chia sẻ chúc kênh ngày càng phát triển,2
"Mình thiếu hành phi, thiếu nc tương, tương ớt.. nấu nghĩ bụng chắc tạm ổn thôi nghĩ sẽ ko ngon đâu… nhưng mà, nó lạ lắm, tưởng ko ngon, nhưng ngon ko tưởng kk =))) cho b 1 sub ạ",2
"Mỗi người có một khẩu vị riêng, vì vậy mỗi người một cái ngon riêng ạ",2
Nhìn thèm quá,2
Cảm ơn bạn đã chia sẻ. Xin hỏi là trong quá trình rim thì cứ để mở nắp nồi đất đúng k ạ? Chúc bạn mạnh khoẻ và ra thêm đc nhiều video nữa nhé. Ủng hộ kênh,2
Ngon tuyệt cám ơn ad ạ,2
Làm màu,0
Sao em nấu đường muốn cạn nước mà sao nó ko ra màu cánh gián như anh đc ạ🥹🥲,1
"Đã thử, ngon lắm ạ. Cảm mơn bạn đã chia sẻ ❤",2
"Mong bạn ra thêm nhìu clip nữa, mình làm theo ra kết quả rất ngon, hơn hẳn mấy clip hướng dẫn khác. Cảm ơn bạn nhé 💕",2
Dcm sao tao làm nó lạ lắm😢,1
Quảng cáo cái tổ cha nó,0
Ok từ lần đầu tiên,2
mình làm ra cái j nó lạ lắm =)),1
Ok đó bạn,2
"Coi rất nhiều video cũng tập làm rồi mà không lần nào ổn, cho tới khi thấy video này và quyết định làm theo 1 lần nữa và mình khá bất ngờ vì nó vừa dễ mà lại ngon nữa omg. Tặng bạn 1 sub ♥",2
Rất hay không cầu kì. Nhiều kênh nấu chỉ có một nồi cháu nhỏ mà phải mất mấy tiếng chuẩn bị,2
"Nếu cảm thấy quá phức tạp với món THỊT KHO TÀU , hãy làm thử món THỊT KHO TIÊU này nhé, Từng miếng thịt kho vị mặn ngọt, thơm của hành và tiêu ăn với cơm nóng thì còn gì bằng. Hãy thử làm ngay đi nào !",1
Ko cho hạt nêm có đc ko nhỉ,1
Ngon quá đi,2
"Nhìn ngon và dễ quá, mình sẽ trổ tài nấu đãi bà xã tối nay . Cám ơn bạn , chúc kênh bạn phát triển mạnh.",2
Hết nồi cơm mất á🤤🤤,2
K nay bi cam roi sao kg nghe noi huong dan cach lam dung tao lao,0
Cách này hay quá ạ 😍,2
"Cảm ơn bạn chia sẽ, luôn ủng hộ bạn , LIKE",2
nhức nách :)),2
"ừmmmm...2021 ròi đóa, vẫn chưa thấy ooho xuất hiện tại VN
 :((",1
Ở nước naog có ạ,1
Vậy cái này sẽ dùng cái gì để đựng ?,1
Thay thế chai nhựa,1
Bây h còn chưa có nữa.Chả nghe tin j luôn,1
Ủa sao giống thạch thủy tinh vậy,1
Qua 2021 rồi mà chả thấy ooho có ở Việt Nam,1
"3 năm rồi , nămnay lăn2021. Nước VN mình vx chưa thấy gì ',-', haizzz",1
Coi mà đã thấy them,2
1 tháng nữa là qua năm thứ 4 rồi :(,1
Chắc phải lâu lắm mới thay thế chai nhựa được. Video này 2017 giờ 2020 rồi chắc phải còn lâu,1
Cho em một quả đi,1
Hơn 3 năm rồi mà chưa có ởVN 🇻🇳,1
Thích à nha,2
Em nhìn thấy là biết ngon rồi 😊😊😊,2
Nghẹn cổ = chết,0
Lâu chưa,1
Huhuhu vn chưa có,1
"chờ tận 3 năm rồi mà vẫn chưa về VN:-D
 tức;-;💢",1
Muốn nhập khẩu về vn,1
Sắp hết 2020 rồi mà đã có đâu,1
Đã 3 năm,1
tôi muốn cái đó ở vn mình,1
21/10/2020 rồi vẫn ko thấy =))),1
3 năm trôi qua mà vẫn chx thấy j mông đợi mãi mà ko thấy j cả buồn,1
Muốn thử,1
Chào các anh chị,1
3 năm rồi,1
tui ăn rồi thật đó,1
ô hô,1
Ham quá ước j vn có,1
Vâng và đã 3 năm rồi vẫn chưa có thêm thông tin j về Ohho :v,1
Em chờ ba năm rồi,1
2020 ai coi ko,1
2020 r mà vẫn chưa thấy quảng cáo về oh ho cả :((,1
Sau chưa về việt nam,1
Chờ 3 năm r mà vẫn chưa thấy phổ biến toàn cầu,1
Muốn nó về việt nam qua,1
Chờ lâu lắm rồi mà vẫn chưa về vn,1
Đã năm 2020 rồi đấy mà ko về với Việt Nam v,1
Được cở lộ,1
Thèm quá ,1
Đến tận bây giờ có ai uống cái lít đó đâu,1
4 . 5 . 2020 rôi vẫn chưa tháy,1
chờ 3 năm r mà ko về vn,1
"1 triệu 1 lít, có uống không?",1
"cho con một cai,",1
ôi thích ăn quá đi à em 😍,2
Ai muốn nó về vn giơ tay,1
Giờ chưa có,1
Toi muon an qua,1
đeo khẩu trang đi mấy má,1
Ngon đấy,2
Da qua,2
2020 rồi này anh em ơi! Tôi xem video này 2 năm trc rồi đó :v,1
Sau 2 năm tôi vẫn k nghe ai nói về ooho cả,1
Lô,1
Năm 2020 còn ai xem,1
"thật tiếc chúng ta ko đủ lực truy kích, chặn đường lui, tiêu giệt quân Tàu trả thù cho bao nhiêu chiến sĩ và nhân dẫn đã ngã xuống.",2
Đời đời chúng em luôn nhớ ơn các anh trung đoàn các chiến sĩ anh em trong quân đội đã hy sinh cho đất nước Việt Nam bình yên chúng em luôn luôn nhớ ơn tất cả những người huy sinh cho đất nước,2
"Đi xâm lăng cũng giống như đưa con dân mình đi chết vậy!
 Một đất nước bị xâm lăng họ sẽ lăn xả để đánh trả nên 1 có thể chọi 10 ! Kẻ xâm lăng se phải trả giá đắt😊",1
Ok,1
Truyện.thong.chong.ngoai.xamda.co.tu.ngan.doi.cua.nguoi.dan.viet.nam,2
Bác mình đã hi sinh ở trận chiến này 😢,1
"Quá khốc liệt và kinh khủng hơn cả lũ thực dân
 Tại sao sách lịch sử trên trường học chỉ nói đến hời hợt k nói chi tiết như này nhỉ",0
"Ngày nào còn công sản, dân chúng vẫn còn chịu những thảm cảnh đau thương.",0
Chung toi luôn sẵn sang,1
"TQ còn bên cạnh, sẽ không bao giờ có sự bình yên.",0
"Thực tiễn, chính xác và bổ ích cho thế hệ sau.",2
Rành nói thiên hồ chính Trung Quốc đã từng nói đánh Việt nam là quá dễ trưa ăn cơm Hà Nội tối ăn cơm Sài Gòn mà riêng ông nói là đánh hạn chế trong vong 50 cây số nói có sai không đó,1
Trung Quốc đều như vậy còn làm bạn với chúng làm gì. Việt Nam khổ quá ở gần hàng xóm xấu…,0
"Khmer Đỏ đã tấn công Việt Nam trước. Thảm sát đẫm máu Ba Chúc tại An Giang do chính quân Khmer Đỏ gây ra.
 
 Campuchia và TQ mãi là kẻ thù của Việt Nam.",1
Việt Nam muôn năm….Xin Chúa thương xót những linh hồn con dân tộc Việt đã qua đời trong các cuộc chiến trong mọi thời đại.,2
Dù được nghe bố tôi kể về năm 1979 mà Trung Quốc xâm lược nhưng cuộc chống quân Trung Quốc tôi mới thấm thía giá trị hòa bình khi xem video này. Thế hệ trẻ cần hiểu chia sẻ bài này mạnh hơn nữa cho bạn bè mình. Tôi yêu Tổ Quốc Việt Nam của tôi kiên quyết bảo vệ quê hương đến cùng. 1000 năm bắc thuộc cha ông ta còn chiến đấu đuôi quân xâm lược Trung Quốc được thì thời nay thế trẻ Việt Nam cũng sẽ một lòng gìn non sông đất nước.,1
Toàn Cảnh chiến sợ,1
1 tấc đất mà bọn trung + xâm lược Việt Nam phåi đổi 10.000 cái đầu của bọn người Hoa ở Việt Nam cũng không thể rửa được mối hận,1
Vậy mà trên tv từng phát bộ phim: “ cha tôi- Đặng tiểu bình “,1
Tầm nhìn của bác duẩn thực sự cao siêu,2
Cần có nhiều bài cảnh báo trung quốc hơn nữa vì giã tâm của nó là mãi mãi,2
VN lúc nào cũng đề phòng TQ hết vì đã có rất nhiều bài học lịch sử rồi,1
Chèn nhạc to vlều,0
